City;Country;Country_name;Sub_Region;Region;Its_capital;Population;City_original_name;Latitude
Chongqing;cn;China;Eastern Asia;Asia;0;29914000;;45.880291
Shanghai;cn;China;Eastern Asia;Asia;0;24150000;;29.329546999999998
Beijing;cn;China;Eastern Asia;Asia;1;21705000;;29.346443
Tianjin;cn;China;Eastern Asia;Asia;0;14425000;;30.734540000000003
Lagos;ng;Nigeria;Sub-Saharan Africa;Africa;0;13123000;;6.453056
Nanyang;cn;China;Eastern Asia;Asia;0;12010000;;29.659926000000002
Mumbai;in;India;Southern Asia;Asia;0;11978450;;18.975
Sao Paulo;ao;Angola;Sub-Saharan Africa;Africa;0;11895893;S?o Paulo;-9.151022
Moscow;ru;Russia;Eastern Europe;Europe;1;11514330;;55.752221999999996
Karachi;pk;Pakistan;Southern Asia;Asia;0;11234942;;24.9056
Istanbul;tr;Turkey;Western Asia;Asia;0;10895257;;41.018611
Baoding;cn;China;Eastern Asia;Asia;0;10700000;;31.25
Harbin;cn;China;Eastern Asia;Asia;0;10635971;;45.75
Shenzhen;cn;China;Eastern Asia;Asia;0;10357938;;29.415912
Wuhan;cn;China;Eastern Asia;Asia;0;10220000;;32.224452
Jakarta;id;Indonesia;South-eastern Asia;Asia;1;10135030;;-6.174444
Kinshasa;cd;Congo (Democratic Republic Of The);Sub-Saharan Africa;Africa;1;10076099;;-4.3
Seoul;kr;Korea Republic of;Eastern Asia;Asia;1;10063197;;37.5985
Guangzhou;cn;China;Eastern Asia;Asia;0;10000000;;27.381639
Delhi;in;India;Southern Asia;Asia;0;9879172;;28.666666999999997
Shijiazhuang;cn;China;Eastern Asia;Asia;0;9600000;;29.002558
Xuzhou;cn;China;Eastern Asia;Asia;0;9468000;;34.180454
Tokyo;jp;Japan;Eastern Asia;Asia;1;8967665;;35.685
Dhaka;bd;Bangladesh;Southern Asia;Asia;1;8906039;;23.723055600000002
Mexico;co;Colombia;Latin America and the Caribbean;Americas;0;8800000;Mexico City;2.693135
Hangzhou;cn;China;Eastern Asia;Asia;0;8700000;;30.29365
Zhengzhou;cn;China;Eastern Asia;Asia;0;8626505;;34.683611
Weifang;cn;China;Eastern Asia;Asia;0;8500000;;27.319565
Lima;pe;Peru;Latin America and the Caribbean;Americas;1;8486866;;-15.3813889
Fuyang;cn;China;Eastern Asia;Asia;0;8360000;;32.9
Ganzhou;cn;China;Eastern Asia;Asia;0;8300000;;25.85
Bangkok;th;Thailand;South-eastern Asia;Asia;1;8280925;;13.753979000000001
New York;us;United States;Northern America;Americas;0;8244910;;30.8383333
London;gb;United Kingdom;Northern Europe;Europe;1;8173900;;51.514125
Cairo;eg;Egypt;Northern Africa;Africa;1;8105071;;30.06
Jining;cn;China;Eastern Asia;Asia;0;8023000;;41.0275
Bogota;co;Colombia;Latin America and the Caribbean;Americas;1;7980001;;4.61
Ho Chi Minh City;vn;Vietnam;South-eastern Asia;Asia;0;7955000;;10.8230200
Tehran;ir;Iran;Southern Asia;Asia;1;7797520;;27.458446999999996
Shenyang;cn;China;Eastern Asia;Asia;0;7760000;;27.831733000000003
